publish_date,neg,neu,pos,compound,sentiment
2001-05-25,0.0,0.606,0.394,0.0772,positive
2001-05-27,0.091,0.813,0.096,0.212,positive
2001-05-28,0.14,0.802,0.058,-0.9983,negative
2001-05-29,0.082,0.843,0.075,-0.9343,negative
2001-05-30,0.082,0.829,0.089,0.8446,positive
2001-06-01,0.0,1.0,0.0,0.0,negative
2001-06-02,0.0,1.0,0.0,0.0,negative
2001-06-03,0.0,1.0,0.0,0.0,negative
2001-06-04,0.0,1.0,0.0,0.0,negative
2001-06-05,0.4,0.0,0.6,0.25,positive
2001-06-07,0.0,1.0,0.0,0.0,negative
2001-06-10,0.0,0.548,0.452,0.5106,positive
2001-06-17,0.0,0.606,0.394,0.886,positive
2001-06-20,0.135,0.789,0.075,-0.9976,negative
2001-06-21,0.153,0.745,0.102,-0.9179,negative
2001-06-22,0.102,0.84,0.058,-0.9287,negative
2001-06-23,0.063,0.84,0.097,0.9426,positive
2001-06-24,0.121,0.751,0.129,0.3561,positive
2001-06-25,0.073,0.806,0.121,0.9668,positive
2001-06-26,0.077,0.798,0.125,0.9495,positive
2001-06-27,0.142,0.783,0.076,-0.9927,negative
2001-06-28,0.097,0.831,0.072,-0.9031,negative
2001-06-29,0.136,0.782,0.082,-0.9751,negative
2001-06-30,0.043,0.802,0.155,0.9254,positive
2001-07-01,0.062,0.744,0.193,0.5267,positive
2001-07-02,0.145,0.855,0.0,-0.5267,negative
2001-07-03,0.188,0.626,0.186,-0.4767,negative
2001-07-05,0.229,0.702,0.069,-0.8834,negative
2001-07-06,0.061,0.939,0.0,-0.34,negative
2001-07-07,0.059,0.743,0.198,0.6705,positive
2001-07-08,0.116,0.839,0.044,-0.9542,negative
2001-07-09,0.096,0.785,0.119,0.8008,positive
2001-07-10,0.119,0.788,0.092,-0.9231,negative
2001-07-11,0.101,0.864,0.035,-0.9807,negative
2001-07-12,0.136,0.826,0.037,-0.967,negative
2001-07-13,0.122,0.78,0.098,-0.987,negative
2001-07-14,0.082,0.839,0.079,-0.8955,negative
2001-07-15,0.151,0.759,0.089,-0.9965,negative
2001-07-16,0.103,0.794,0.103,-0.9071,negative
2001-07-17,0.162,0.752,0.085,-0.9992,negative
2001-07-18,0.115,0.816,0.069,-0.9958,negative
2001-07-19,0.115,0.81,0.075,-0.9958,negative
2001-07-20,0.11,0.79,0.1,-0.8786,negative
2001-07-21,0.122,0.817,0.062,-0.9969,negative
2001-07-22,0.117,0.82,0.063,-0.9913,negative
2001-07-23,0.138,0.812,0.05,-0.998,negative
2001-07-24,0.117,0.821,0.062,-0.9981,negative
2001-07-25,0.124,0.806,0.07,-0.9975,negative
2001-07-26,0.176,0.741,0.083,-0.9997,negative
2001-07-27,0.105,0.836,0.059,-0.9966,negative
2001-07-28,0.134,0.809,0.057,-0.9979,negative
2001-07-29,0.127,0.791,0.081,-0.9967,negative
2001-07-30,0.079,0.832,0.089,0.413,positive
2001-07-31,0.115,0.815,0.07,-0.9981,negative
2001-08-01,0.139,0.817,0.045,-0.9993,negative
2001-08-02,0.112,0.829,0.059,-0.9982,negative
2001-08-03,0.092,0.836,0.072,-0.9753,negative
2001-08-04,0.155,0.783,0.062,-0.9991,negative
2001-08-05,0.1,0.836,0.064,-0.9954,negative
2001-08-06,0.108,0.819,0.073,-0.9972,negative
2001-08-07,0.112,0.828,0.061,-0.9985,negative
2001-08-08,0.137,0.773,0.091,-0.9988,negative
2001-08-09,0.08,0.857,0.063,-0.9803,negative
2001-08-10,0.101,0.84,0.059,-0.9979,negative
2001-08-11,0.096,0.806,0.098,0.7997,positive
2001-08-12,0.121,0.785,0.095,-0.9884,negative
2001-08-13,0.133,0.788,0.079,-0.9988,negative
2001-08-14,0.1,0.822,0.078,-0.9821,negative
2001-08-15,0.111,0.81,0.079,-0.9964,negative
2001-08-16,0.081,0.856,0.063,-0.9747,negative
2001-08-17,0.106,0.811,0.083,-0.9963,negative
2001-08-18,0.111,0.816,0.072,-0.9968,negative
2001-08-19,0.084,0.824,0.093,0.987,positive
2001-08-20,0.111,0.774,0.116,-0.9023,negative
2001-08-21,0.12,0.791,0.088,-0.9983,negative
2001-08-22,0.115,0.805,0.08,-0.9961,negative
2001-08-23,0.137,0.776,0.087,-0.9994,negative
2001-08-24,0.121,0.788,0.09,-0.9981,negative
2001-08-25,0.123,0.8,0.077,-0.9989,negative
2001-08-26,0.08,0.851,0.069,-0.9404,negative
2001-08-27,0.113,0.808,0.079,-0.9972,negative
2001-08-28,0.111,0.817,0.072,-0.9985,negative
2001-08-29,0.161,0.748,0.091,-0.9997,negative
2001-08-30,0.075,0.864,0.061,-0.9835,negative
2001-08-31,0.117,0.803,0.08,-0.9974,negative
2001-09-01,0.133,0.794,0.074,-0.9996,negative
2001-09-02,0.105,0.831,0.064,-0.9977,negative
2001-09-03,0.124,0.783,0.093,-0.9981,negative
2001-09-04,0.093,0.819,0.089,-0.92,negative
2001-09-05,0.131,0.784,0.085,-0.9989,negative
2001-09-06,0.084,0.839,0.077,-0.9648,negative
2001-09-07,0.142,0.78,0.078,-0.9993,negative
2001-09-08,0.112,0.815,0.073,-0.9978,negative
2001-09-09,0.135,0.779,0.086,-0.9993,negative
2001-09-10,0.126,0.803,0.071,-0.9983,negative
2001-09-11,0.127,0.806,0.068,-0.9994,negative
2001-09-12,0.1,0.833,0.067,-0.9988,negative
2001-09-13,0.149,0.776,0.074,-0.9991,negative
2001-09-14,0.154,0.755,0.091,-0.9995,negative
2001-09-15,0.13,0.796,0.074,-0.9988,negative
2001-09-16,0.137,0.76,0.103,-0.997,negative
2001-09-17,0.16,0.747,0.093,-0.999,negative
2001-09-18,0.102,0.8,0.097,-0.8698,negative
2001-09-19,0.097,0.842,0.061,-0.9975,negative
2001-09-20,0.099,0.832,0.069,-0.9969,negative
2001-09-21,0.097,0.847,0.057,-0.9945,negative
2001-09-22,0.092,0.832,0.076,-0.9846,negative
2001-09-23,0.114,0.802,0.084,-0.9974,negative
2001-09-24,0.141,0.769,0.091,-0.9985,negative
2001-09-25,0.121,0.802,0.077,-0.9986,negative
2001-09-26,0.143,0.749,0.108,-0.9982,negative
2001-09-27,0.128,0.818,0.055,-0.9983,negative
2001-09-28,0.096,0.839,0.065,-0.9964,negative
2001-09-29,0.133,0.807,0.061,-0.9991,negative
2001-09-30,0.132,0.794,0.075,-0.999,negative
2001-10-01,0.169,0.769,0.062,-0.999,negative
2001-10-02,0.131,0.809,0.06,-0.9989,negative
2001-10-03,0.093,0.83,0.078,-0.9843,negative
2001-10-04,0.098,0.818,0.085,-0.9676,negative
2001-10-05,0.116,0.797,0.087,-0.9948,negative
2001-10-06,0.179,0.728,0.093,-0.9993,negative
2001-10-07,0.122,0.813,0.065,-0.9928,negative
2001-10-08,0.139,0.756,0.105,-0.9958,negative
2001-10-09,0.16,0.769,0.071,-0.9985,negative
2001-10-10,0.138,0.778,0.084,-0.9988,negative
2001-10-11,0.073,0.879,0.048,-0.9745,negative
2001-10-12,0.153,0.797,0.05,-0.9987,negative
2001-10-13,0.128,0.801,0.071,-0.9976,negative
2001-10-14,0.078,0.831,0.09,0.9278,positive
2001-10-15,0.146,0.782,0.072,-0.9981,negative
2001-10-16,0.122,0.818,0.06,-0.9981,negative
2001-10-17,0.129,0.814,0.057,-0.9981,negative
